Idioms,en,ko
,Stop accusing each other – you are both responsible for this accident. Pot calling the kettle black!,서로를 비난하지 마세요. 이 사고는 두 분 모두에게 책임이 있습니다. 똥 묻은 개가 겨 묻은 개 나무라는 격입니다.
,"After his first accident, Sam is quite careful in driving now because a burnt child dreads a fire.","샘은 처음 사고를 당한 후, 자라보고 놀란 가슴 솥뚜껑 보고 놀란다고 지금은 운전에 상당히 신중을 기하고 있습니다."
,I always prefer to keep a fire extinguisher at home once I have seen a fire caught in my office as a burnt child dreads the fire.,마치 자라보고 놀란 가슴 솥뚜껑 보고 놀란다고 사무실에서 불이 나는 것을 본 적이 있어서 항상 집에 소화기를 두는 것을 선호합니다.
,He was wary of new marriage after his divorce because a burnt child dreads the fire.,"그는 이혼 후 자라보고 놀란 가슴 솥뚜껑 보고 놀란다고, 재혼에 대해 조심했습니다."
,"He never considered my advice to drive slowly, unless the accident happened with him. Someone has said the truth a burnt child dreads the fire.","그는 사고가 자신에게 일어나지 않는 한, 천천히 운전하라는 제 조언을 전혀 고려하지 않았습니다. 누군가는 자라보고 놀란 가슴 솥뚜껑 보고 놀란다고 말했습니다."
,"A dog tried to bite me, and then I was so scared. A burnt child dreads the fire so I hate dogs now.","개가 물으려고 했는데, 나는 너무 무서웠다. 자라보고 놀란 가슴 솥뚜껑 보고 놀란다고, 지금도 개가 싫다."
,"John is very aggressive and outspoken, just like his father. The apple doesn't fall far from the tree in John's case.","피는 못 속인다고, 존은 그의 아버지처럼 매우 공격적이고 거침이 없습니다."
,"Mary has a talent for singing and playing the piano, just like her mother. Indeed, the apple doesn't fall far from the tree!",메리는 그녀의 어머니처럼 노래하고 피아노 치는 것에 재능이 있습니다. 피는 못 속입니다.
,Sam's mischievousness and love for practical jokes seem to have been inherited from his grandfather. The apple doesn't fall far from the treein Sam's family.,샘의 짓궂은 장난과 짓궂은 장난에 대한 애정은 할아버지에게서 물려받은 것으로 보입니다. 사과는 샘의 집안 나무에서 멀리 떨어지지 않습니다.
,"Lisa's carefree and adventurous spirit is very similar to her mother's at the same age, demonstrating that the apple doesn't fall far from the tree.",리사의 느긋하고 모험적인 정신은 같은 나이의 어머니와 매우 비슷해서 피는 못 속인다는 것을 보여줍니다.
,"Richard's attention to detail and perfectionism in his work clearly come from his father, an excellent example of the apple not falling far from the tree.","리처드가 자신의 작품에서 디테일과 완벽주의에 관심을 기울이는 것은 분명 그의 아버지에게서 나온 것인데, 이는 피는 못 속인다는 것을 보여주는 훌륭한 예입니다."
,"My brother Jake has the same enthusiasm and work ethic as our dad, proving once again that the apple doesn't fall far from the tree.",오빠 제이크는 우리 아빠와 같은 열정과 직업윤리를 가지고 있어 피는 못 속인다는 것을 다시 한번 증명해 보였습니다.
,Now I'm exactly where I didn't want to be. I'm just like my parent. I guess the apple doesn't fall far from the tree.,"이제 난 절대 되고 싶지 않았던 바로 그 모습이 됐어. 마치 부모님처럼, 피는 못 속이나봐."
,"Her daughter soon showed her own musical talent, proving that the apple doesn't fall far from the tree.",그녀의 딸은 피는 못 속인다는걸 증명하듯이 곧 음악적 재능을 보였다.
,The company management had 11 decision makers. No wonder it closed operations since too many cooks spoil the broth.,회사 경영진은 11명의 결정권자가 있었습니다. 사공이 많으면 배가 산으로 간다고 당연히 문을 닫았습니다.
,I sincerely hope that you have taken care that too many cooks will not spoil the broth in this event.,이번 행사에서 사공이 많으면 배가 산으로 가지 않도록 신경 써주셨으면 좋겠습니다.
,The kids wanted to do a good science project but too many cooks spoilt the broth.,아이들은 좋은 과학 프로젝트를 하고 싶었지만 사공이 많아 배가 산으로 갔습니다.
,You should have hired less number of people because too many cooks usually spoil the broth.,사공이 많으면 배가 산으로 간다고 인원을 적게 고용했어야 합니다.
,I'd have loved to have joined but you have too many people on board already and too many cooks spoil the broth.,같이 했으면 좋았을 텐데 벌써 사람이 너무 많아서 사공이 많아 배가 산으로 가고 있습니다.
,"I am telling you, don't hire so many mechanics to customize your Ford car because too many cooks always spoil the soup just hand over it good one.",포드 자동차를 주문 제작하기 위해 정비사를 그렇게 많이 고용하지 마세요. 사공이 많으면 배가 산으로 간다고 좋은 정비사에게 건네주기만 하면 됩니다.
,If you are really able to climb that 8 feet wall by yourself then I'll eat my hat.,"만약 당신이 정말로 혼자 그 8피트 벽을 오를 수 있다면, 나는 내 손에 장을 지질 거다."
,I'm going to win this race and then you will have to eat your hat.,나는 이 경주에서 이길 것이고 니 손에 장 지지게 될 거야.
,If she is able to walk the marathon then I'll eat my hat.,"만약 그녀가 마라톤을 할 수 있다면, 내 손을 장 지진다."
,You never know who might be listeninng. Walls have ears.,누가 듣고 있을지 몰라. 낮말은 새가 듣고 밤말은 쥐가 듣는다고.
,Lower your voice and be careful what you say. The walls have ears.,목소리 낮추고 조심히 말해. 낮말은 새가 듣고 밤말은 쥐가 듣는다고.
,"somebody may be listening, so be careful what you say.  Walls have ears.",누가 듣고 있을 지도 몰라. 조심히 말해. 낮말은 새가 듣고 밤말은 쥐가 듣는다고.
,Shhh. Walls have ears. Someone may be listening. ,"쉿, 낮말은 새가 듣고 밤말은 쥐가 듣는다고. 누군가가 듣고 있는지도 몰라."
,"I really loved my job, but there was this one jerk there who made life miserable for everyone. One rotten apple spoils the whole barrel, unfortunately.","저는 제 직업을 정말 사랑했지만, 그곳에는 모든 사람들의 삶을 비참하게 만든 한 나쁜 놈이 있었습니다. 불행하게도, 미꾸라지 한 마리가 온 웅덩이 흐립니다."
,"It's true, then, that one rotten apple spoils the whole barrel.",미꾸라지 한 마리가 온 웅덩이를 흐린다는 말이 사실이군.
,"""A rotten apple's better thrown away bbefore it spoils the barrel."" That is true when dealing with a bad apprentice too.",미꾸라지 한 마리가 온 웅덩이를 흐린다는 말이 사실이다. 못된 제자를 다룰 때도 역시 그렇다.
,The rotten apple spoils his companion.,미꾸라지 한마리가 그의 동료들을 망친다.
,"As one bad apple spoils the others, so you must show no quarter to sin or sinners","미꾸라지 한마리가 온 웅덩이를 더럽히기 때문에, 여러분은 죄나 죄인들에게 어떤 자비도 보여주면 안됩니다."
,The rotten apple injures its neighbors.,미꾸라지 한마리가 주위의 온 웅덩이를 더럽힌다.
,He is the one bad apple spoils the barrel. ,미꾸라지 한마리가 온 물을 흐려 놓는군.
,"Well, a rotten apple spoils the whole barrel, right? So why give the job to a shifty character like Michael?",미꾸라지 한마리가 온 물을 흐리네요. 그럼 왜 마이클 같은 변덕스러운 인물에게 그 일을 맡겼을까요?
A bad break,"Tony has lost his job, just when he needed the cash to move house. That’s a bad break.",Tony는 집을 이사하기 위해 현금이 필요할 때 직장을 잃었습니다. 그것은 운이 나빴습니다.
,Tanya’s leg was crushed when the rock fell on it. It was a really bad break the doctor said.,Tanya의 다리는 바위가 떨어지자 부서졌습니다. 의사는 정말 운이 나빴다고 말했습니다.
,Some may say that I have been given a bad break in life.,누군가는 내가 삶에서 불운을 받아왔다고 말할지도 모릅니다.
A bad hair day,"Do we talk about a bad hair day? In my case, I missed the bus and was late on the one day the boss was early. ",일진이 사나운 날에 대해서 얘기해 볼까요? 저 같은 경우는 버스를 놓쳐서 사장님이 일찍 오는 날 지각을 했어요.
,It's a bad hair day!,오늘 정말 일진이 안 좋네!
,It would appear that this chap is having a bad hair day.,오늘 일진이 안 좋아서 그런가 보다.
,I'm having a bad hair day.,되는 일이 하나도 없네.
,I'm having a bit of a bad hair day .,일진이 안 좋은 날이에요.
A bad workman always blames his tools,A bad workman always blames his tools and so do many other people.,서투른 목수가 연장 탓하는 것처럼 다른 많은 사람들 또한 다른 탓을 한다.
,"According to the adage, a bad workman always blames his tools.","격언에 의하면, 서투른 일꾼이 항상 연장을 탓한다."
,A bad workman always blames his tools and a poor journalist blames the scapegoat.,"서투른 직공이 자신의 연장을 탓하고, 가난한 저널리스트가 정부의 희생양을 탓한다."
A big ask,Tod had only just got home from his overnight flight when his boss told him to get back to the airport and fly to Sydney. That was a big ask.,Tod가 야간 비행을 마치고 막 집에 도착했을 때 그의 상사는 그에게 공항으로 돌아가서 시드니로 비행기를 타라고 말했습니다. 그것은 터무니 없는 요구 였습니다.
,Beating the world champions is certainly a big ask for the team.,세계 챔피언을 이기는 것은 그 팀에게 분명 만만치 않은 일이다.
,"If the operations in Japan are successful, then the business should have a future, but it's a big ask.",일본에서의 사업이 성공적이라면 사업에 미래가 있을 것이지만 그것은 만만치 않은 일입니다.
A bigger bang for your buck,How about looking at ways to get more bang for the buck?,가성비를 높이기 위한 방법들을 고려해 보는 거 어떨까요?
,"This device is not the latest, but it gives a bigger bang for the buck.","이 기기는 최신형은 아니지만, 그 값보다 더한 가치를 제공합니다."
,That's pretty good bang for the buck!,그거 가성비 최고에요!
,Amazon's web site gives the consumer more bang for the buck.,아마존 웹사이트는 소비자에게 더 큰 비용 대비 가성비를 제공합니다.
,"Fortunately, I got a little extra bang for my buck.","다행히, 저는 투자 대비 약간의 수익을 올렸습니다."
A blessing in disguise,Being laid off was a blessing in disguise – within a month I got a much better job.,한 달 만에 훨씬 더 좋은 직장에 취직할 수 있었으니 해고가 오히려 축복이었습니다.
,The failure to conclude the trade talks last December could prove a blessing in disguise.,지난해 12월 무역 협상이 타결되지 못한 것이 오히려 전화위복이 될 수도 있습니다.
,"My car broke down again, but maybe it was a blessing in disguise; I've been wasting too much time driving around anyway.","차가 또 고장 났지만, 어차피 운전하는 데 너무 많은 시간을 낭비하고 있었기 때문에 오히려 잘된 일인지도 모릅니다."
A bunch of fives,You're asking for a bunch of fives!,너 주먹을 부르는구나!
A chip on your shoulder,Tom accidentally bumped into Jane and attempted to apologize. It was evident that Jane has a chip on her shoulder as she yelled mercilessly at him for five minutes.,톰은 실수로 제인과 부딪혔고 사과를 하려고 했습니다. 5분 동안 무자비하게 소리를 지르는 제인의 모습에서 제인이 화가 잔뜩 나 있는 것이 분명했습니다.
,Some people say Tom has a chip on his shoulder but I think he acts gruffly because he has poor social skills and low self-esteem.,"어떤 사람들은 탐이 시비조라고 말하지만, 나는 그가 사교술이 없고 자존심이 낮아서 행동이 거칠다고 생각한다."
,"Man, you sure do have a chip on your shoulder.","야, 너 화가 잔뜩 나 있는 게 틀림없구나."
,You seem to have a chip on your shoulder.,당신이 예민한 반응을 보이는 것 같다.
,Having a chip on your shoulder about your background cant help either.,당신의 배경에 과민 반응을 보이는 것도 도움이 안된다
A diamond in the rough,That piece of property is a diamond in the rough. Someday it will be valuable.,그 물건은 진흙 속에 묻힌 진주입니다. 언젠가는 진가를 발휘 할 것입니다.
,You are a diamond in the rough.,너는 흙 속의 진주였어.
A dime a dozen,Red buses in London. they’re a dime a dozen.,런던에서 빨간 버스는 흔하다.
,"Bananas used to be very expensive in Korea, but nowadays they are a dime a dozen.",바나나가 전에는 한국에서 매우 비쌌지만 요즘은 매우 싸다
A doubting Thomas,Mary won't believe that I have a dog until she sees him. She's such a doubting Thomas.,메리는 내가 개를 기르고 있다는 것을 자기 눈으로 볼 때까지는 믿을 수 없다는 거야. 정말 의심이 많다니까.
,No one can convince him of anything; he's a doubting Thomas.,그 어떠한 것에 대해서 그를 납득시킬 수 있는 사람은 없다. 그는 의심 많은 사람이다.
A drop in the bucket,The country’s debt has risen to a trillion pounds. Paying off a billion is just a drop in the bucket.,국가부채가 1조파운드로 늘어났다. 10억 달러를 갚는 것은 새 발의 피에 불과합니다.
,But that's just a drop in the bucket.,그런데 그거는 지금 새발의 피에요.
A feather in one's cap,Getting nominated for an Oscar is the biggest feather in a film actor’s cap.,오스카상 후보에 오르는 것은 영화 배우의 가장 큰 성공의 상징입니다.
A fish out of water,He’s a fine golfer but in this dance competition he’s a fish out of water.,그는 훌륭한 골퍼이지만 이번 댄스 대회에서 그는 어색하고 적응 하기 힘들었습니다.
A flash in the pan,"Tom had hoped to be a singer, but his career was only a flash in the pan.",톰은 가수가 되고 싶어했으나 그의 경력은 극히 일순간뿐이었다.
,Their relationship was nothing but a flash in the pan romance.,그들의 관계는 한낱 불장난에 지나지 않았다
,I'm afraid that my success as a painter was just a flash in the pan.,화가로서의 나의 성공은 유감스럽게도 겨우 한순간의 섬광이었을 뿐이라고 생각한다.
,our start to the season was just a flash in the pan.,우리의 시즌 시작은 그저 순간에 불과했어.
A fly on the wall,A fly on the wall must have witnessed the affair.,몰래 남을 훔쳐보는 사람이 그 사건을 목격했음에 틀림 없다.
,I’d love to be a fly on the wall when he tells her the news.,난 그가 그녀에게 그 소식을 전할 때 몰래 관찰해 보고 싶어.
A fool's paradise,He thinks he is going to get the top job but there’s no chance of that. He’s just living in a fool’s paradise.,그는 자신이 최고의 자리를 차지할 것이라고 생각하지만 그럴 가능성은 없습니다. 그는 단지 헛된 행복에 살고 있을 뿐입니다.
A foot in the door,I convinced them to start displaying my artwork. I’m making a loss on it but it’s a foot in the door.,나는 그들이 내 작품을 전시하기 시작하도록 설득했습니다. 나는 그것에 대해 손해를 보고 있지만 그것은 성공으로 가는 첫걸음이다.
,It's a foot in the door.,성공적으로 첫걸음을 내딛은 셈이군요.
,"She may not have a lot of experience, but her internship at the company will give her a foot in the door. ","그녀는 경험이 많지 않을지도 모르지만, 회사의 인턴십으로 일부분에서라도 발을 들일 수 있을 것이다."
,"It's hard to break into the entertainment industry,  but I have a foot in the door with a small role in an independent film.","연예계에 진입하기 어려워,  독립 영화에서 작은 역할로 발을 들였다."
A house divided against itself cannot stand,A house divided against itself cannot stand.,분열된 집은 스스로 서지 못한다.
,united we stand divided we fall.,"뭉치면 살고, 흩어지면 죽는다."
,The Tory party can’t stop arguing over Europe. Don’t they know that a house divided cannot stand?,"토리당은 유럽을 두고 논쟁을 멈출 수 없다. 뭉치면 살고, 흩어지면 죽는다는 것을 그들은 모릅니까?"
,"I wish Ben and Jerry would learn to get along. After all, a house divided against itself cannot stand.",벤과 제리가 사이좋게 지내는 법을 배웠으면 좋겠어요. 결국 흩어지면 죽고 뭉치면 사는 법입니다.
A knight in shining armour,"She was stuck, out of petrol in the middle of the moors at night. When the repair man turned up she called him her knight in shining armour.",그녀는 밤에 황무지 한가운데에 휘발유가 없어 갇혀 있었습니다. 수리공이 나타나자 그녀는 그를 구세주라고 불렀습니다.
A leopard can't change his spots,He was a bully at school and he’s a bully now - a leopard can’t change its spots.,그는 학교에서도 깡패였고 지금은 깡패입니다. 제 버릇 개 못 줍니다.
,Old habits die hard.A leopard cannot change its spots.,세 살 버릇 여든까지 간다. 제 버릇 개 못 준다.
,"Once a thief, always a thief.A leopard cannot change his spots.",한번 도둑은 영원히 도둑이다. 제 버릇 개 못 준다.
,A dictator is unlikely to become a good leader in a democracy. A leopard cannot change its spots.,독재자는 민주주의에서 좋은 지도자가 될 것 같지 않습니다. 제 버릇 개 못 줍니다.
A little bird told me,"How do I know it’s your 25th anniversary? Well, a little bird told me.",오늘이 25주년인지 어떻게 알 수 있나요? 어떤 사람이 말해줬어요.
,A little bird told me that today is your birthday.,누가 그러는데 오늘이 네 생일이라지.
,A little bird told me.,어떤 사람이 말해줬어.
A load of cobblers,"He says he has invented a perpetual motion machine, which is clearly a load of cobblers.","그는 영구적인 운동 기계를 발명했다고 말하는데, 이 기계는 정말 말도 안돼요."
,What a load of cobblers! There aren't any ghosts.,말도 안 되는 소리 그만해! 유령 따위는 없어!
A load of codswallop,You can’t keep champagne fresh by putting a spoon in the neck of the bottle - that’s a load of codswallop.,병 목에 숟가락을 넣는다고 샴페인을 신선하게 유지할 수는 없습니다. 말도 안 되는 소리입니다.
,I’ve never heard such a load of old codswallop in my life.,나는 내 인생에서 그런 말도 안되는 소리를 들어 본 적이 없습니다.
,It could be a load of codswallop for all I know.,내가 아는 한 아주 터무니 없는 말이야.
A lot on your plate,Your Mom dying just when you were moving house and being made redundant. You certainly have a lot on your plate.,당신이 집을 이사하고 정리해고를 당하던 중에 당신의 엄마가 돌아가셨습니다. 할일이 산더미 입니다.
,You have a lot on your plate.,네가 해야 할 일이 산더미구나.
,I know you got a lot on your plate right now.,네가 지금 할 일이 태산인거 알아.
A penny saved is a penny earned,"I put all my small change into a jar every day. It’s not much, but a penny saved is a penny earned.",나는 매일 작은 잔돈을 모두 항아리에 담는다. 많은 금액은 아니지만 아끼는 것이 버는 것 입니다.
,Sarah saved money every month. She believed that a penny saved is a penny earned.,사라는 매달 돈을 저축했습니다. 아끼는 것이 버는 것이라고 믿고 있습니다.
,Parents often teach their children that a penny saved is a penny earned to instill good money management habits.,부모들은 종종 자녀에게 좋은 돈 관리 습관을 심어주기 위해 아끼는 것이 버는 것이라는 것을 가르칩니다.
A picture paints a thousand words,I tried to describe that fantastic sunset and then she just showed them a photo. You know it’s true - a picture paints a thousand words.,나는 그 환상적인 일몰을 묘사하려고 노력했고 그녀는 그들에게 사진을 보여주었습니다. 당신은 백문이 불여일견이라는 것을 압니다.
,A picture is worth a thousand words.,천 마디 말보다 한 번 보는 게 더 낫다.
A piece of cake,Jumping that two-foot fence? No problem - a piece of cake.,2피트 높이의 울타리를 뛰어넘는다고요? 문제 없습니다. 식은 죽 먹기 입니다.
A pig in a poke,Jim said that car was a good buy so I bid for it on eBay and it turned out to be a real rust bucket. That’s what you get for buying a pig in a poke.,Jim은 차가 좋은 구매였다고 말했고 그래서 eBay에서 입찰했는데 그 차는 진짜 녹슬었던 것으로 판명되었습니다. 먼저 살펴보지 않고 충동으로 구매한 대가로 얻는 것입니다.
A place in the sun,He is ambitious for a place in the sun.,그는 우위에 서는 것을 열망하고 있다.
,The country is overcrowded and needs a place in the sun.,그 나라는 인구가 조밀하여 유리한 자리를 찾고 있다.
,"We’ve been lucky, we managed to buy ourselves a place in the sun for our retirement.","우리는 운이 좋았고, 은퇴를 위한 좋은 집을 구할 수 있었습니다."
A safe pair of hands,When Margaret Thatcher passed the Prime Ministership to John Major she thought he would be a safe pair of hands.,마가렛 대처가 총리직을 존 메이저에게 물려줬을 때 그녀는 그가 어떤 일이든 실패하지 않고 믿을 수 있는 믿음직한 사람이 될 것이라고 생각했습니다.
,Colleagues regard him as a safe pair of hands.,동료들은 그를 믿을 수 있는 일꾼이라고 여긴다.
,Mr Brown used to be thought a safe pair of hands.,브라운 씨는 믿을 수 있는 사람으로 여겨지곤 했다.
A sea change,When Obama came in after George Bush there was a real sea change in US foreign policy.,조지 부시 이후 오바마가 등장했을 때 미국 외교 정책에 실질적인 엄청난 변화가 일어났습니다.
A sight for sore eyes,Wow. You’re a sight for sore eyes. They told me you were abroad and would miss my wedding.,우와. 예상하지 못했던 반가운 광경이네요.. 해외에 계시고 제 결혼식에 참석하지 못할 거라고 하셨어요.
,I need a sight for sore eyes after I saw those terrible things.,저 끔찍한 것들을 보고 나서 보기에 즐거운 것이 필요하다.
,You are a sight for sore eyes,너를 보니 참 반갑다.
,"Eui-jae's impressive and dynamic piano skills are definitely a sight for sore eyes , and one of the highlights in this movie.","의 재군의 인상적이고 역동적인 피아노 실력은 분명 보기만 해도 즐거운 것이고, 이 영화의 주요장면들 중의 하나이다."
A skeleton in the closet,No one in the family ever talked about Grandad being convicted of child abuse. It was the skeleton in our closet.,가족 중 누구도 할아버지가 아동 학대로 유죄 판결을 받았다는 이야기를 한 적이 없습니다. 그것은 비밀스럽고 파멸적인 수치심의 원천이었습니다.
A shot in the arm,I was out on my feet after ten miles’ running but seeing the kids cheering me on was a real shot in the arm.,10마일을 달리고 일어섰는데 아이들이 나를 응원하는 모습을 보니 힘이 났습니다.
,I hope that concert was a shot in the arm.,그 공연이 활력소가 됐기를 바란다.
,The movie was a real shot in the arm for our crew.,영화는 우리 제작진의 진정한 도움이 되었습니다.
,Winning this award has been a big shot in the arm for the students.,이번 수상은 학생들에게 큰 힘이 되었습니다.
,Getting laid off was the shot in the arm he needed to go back to school.,해고된 것은 그가 학교로 돌아가는 데 필요한 힘이 되었습니다.
,This will be a shot in the arm.,이건 활력소가 될 거야.
A slap on the wrist,Those muggers should get a jail term but these days they’ll probably just get a fine and a slap on the wrist.,그 강도들은 징역형을 받아야 하지만 요즘에는 아마도 벌금과 약간의 질책을 받을 것입니다.
A sledgehammer to crack a nut,Using the air ambulance to get granny to hospital was a sledgehammer to crack a nut. She could walk perfectly well and we only live 200 yards away.,할머니를 병원으로 이송하기 위해 항공 구급차를 이용하는 것은 부적절 했습니다. 그녀는 완벽하게 잘 걸을 수 있었고 우리는 단지 200야드 떨어진 곳에 살고 있습니다.
,This order is a sledgehammer to crack a nut.,이 지시는 부적절해. 작은 일에 너무 큰 힘을 쓰는 거야.
,"Although the measure is welcome, it is using a sledgehammer to crack a nut.","의도는 좋았지만, 그것은 너무 지나친 방법이었다."
,We should not use a sledgehammer to crack a nut.,닭 잡는데 소 잡는 칼을 쓰면 안 된다.
,Bankers say that the proposed law is a sledgehammer to crack a nut.,은행가들은 제안된 법안이 닭 잡는데 소 잡는 칼을 쓰는 것과 같다고 말합니다.
,But they took a sledgehammer to crack a nut.,그러나 그들은 닭 잡는데 소 잡는 칼을 썼어.
,I brought 20 police officers for her? That’s like using a sledgehammer to crack a nut!,내가 그 사람을 위해 경찰 20명을 데리고 왔다고? 닭 잡는데 소 잡는 칼을 쓰고 있었네!
A sorry sight,"These Georgian townhouses were beautiful when they were built, but they make a sorry sight now they’ve been left unoccupied and vandalised.","이 조지아식 타운하우스는 건축 당시에는 아름다웠지만, 지금은 사람이 살지 않고 훼손되어 있어 안타까운 광경을 연출하고 있습니다."
,Since Jim hit the bottle after Joan left him he’s not been taking care of himself. He looked a sorry sight today just dressed in old clothes and slippers.,Joan이 떠난 후 Jim이 병에 부딪힌 이후로 그는 자신을 돌보지 않았습니다. 오늘은 낡은 옷과 슬리퍼만 입은 채 안타까운 모습을 보였다.
A stitch in time saves nine,Fixing that frayed rope was a real stitch in time. It would probably have snapped when the wind got up later if we hadn’t.,해어진 밧줄을 고치는 것은 문제를 즉각 처리하면 나중의 수고를 던다는 말 이에요. 그렇지 않았다면 나중에 바람이 불 때 부러졌을 것입니다.
A stone's throw,Number Ten Downing Street is just a stone’s throw from parliament - the Prime Minister can walk there in no time.,10번 다우닝 스트리트는 의회에서 매우 가깝습니다. 총리가 즉시 걸어서 갈 수 있는 곳입니다.
,We live just a stone’s throw from here.,우리는 여기에서 정말 아주 가까이 산다.
,within a stone's throw,엎드리면 코 닿을 데
,He lives a stone's throw from here.,그는 여기서 엎어지면 코 닿을 데 산다
,He lives just a stone's throw from here.,그는 엎어지면 코 닿을 거리에 산다
,The Stephansdom is a stone's throw from the bus stop.,Stephansdom은 버스 정류장이랑 엎어지면 코 닿을 거리인데.
A taste of your own medicine,You always made me work on Christmas Day when I was the junior. Now I’m in charge of the holiday rota and you can take a dose of your own medicine.,"당신은 내가 후배였을 때 항상 크리스마스 날에 나에게 일을 시키셨어요. 이제 나는 명절 로타를 담당하고 있으며, 당신은 보복을 받을 수 있습니다."
,Let the bully have a taste of his own medicine. ,약자를 괴롭힌 그 자에게는 자기도 똑같이 앙갚음을 당하게 해라.
,I'll fix your wagon. or I'll give you a dose of your own medicine.,네게 복수할 거야
,Now you're getting a taste of your own medicine!,이제 넌 자기 꾀에 자기가 넘어갔구나!
A thorn in my flesh,The anti-capitalist campaigners turned up at every political meeting. They were are real thorn in the flesh for the government.,반자본주의 운동가들은 모든 정치 모임에 나타났습니다. 그들은 정부에게 있어서 진짜 골칫거리였습니다.
,This patient is a real thorn in my side. He's always complaining of feeling sick and I can never find anything wrong with him.,이 환자는 내 골칫거리다. 그는 항상 몸이 아프다고 불평하는데 나는 그에게서 어떤 잘못된 점도 찾을 수 없습니다.
,The pastor has been a thorn in the side of the regime.,그 정권에서 그 목사는 골칫거리였다.
,Choo's been a thorn in our side all series.,추신수는 시리즈 내내 우리 팀의 골칫거리였어요.
,"That neighbor was a thorn in my side for years, until he finally moved away.","그 이웃 양반은 오랫동안 나의 고민거리였는데, 드디어 이사를 갔습니다."
A wolf in sheep's clothing,"Beware of the police chief. He seems polite, but he's a wolf in sheep's clothing.",그 경찰서장을 조심하시오. 그는 예의 바르게 보이지만 양의 가죽을 쓴 이리입니다.
,"He seems polite, but he's a wolf in sheep's clothing.",그는 예의바르게 보이지만 양의 탈을 쓴 이리입니다.
,"This proposal seems harmless enough, but I think it's a wolf in sheep's clothing.",이 제안은 전혀 무해한 것 같지만 나는 그것이  양의 탈을 쓴 이리라고 생각합니다.
Absence makes the heart grow fonder,I guess absence makes the heart grow fonder.,떨어져 있으면 더욱 그리워지는가 보다.
,They say absence makes the heart grow fonder and this is what's happened.,그들은 떨어지면 더 애틋해진다고 얘기하면서 지금이 그 상황이라고 말한다.
,I enjoyed visiting Italy but after a few weeks I couldn’t wait to get home to my wife. Absense makes the heart grow fonder.,나는 이탈리아를 방문하는 것을 즐겼지만 몇 주 후에 아내가 있는 집으로 돌아가는 것을 기다릴 수 없었습니다. 떨어져 있으면 더욱 그리워지는가 봅니다.
,It’s good to be apart because you can see how badly you want to be together. Absence makes the heart grow fonder.,당신이 얼마나 함께하고 싶어하는지 알 수 있기 때문에 떨어져있는 것이 좋습니다. 떨어져 있으면 더욱 그리워 진다.
Ace in the hole,"Pete Townshend thought ’I can see for miles’ was a sure-fire hit and he saved it, as an ace in the hole, until he needed to boost the group’s success.",Pete Townshend는 '나는 몇 마일이라도 볼 수 있습니다'가 확실한 히트작이라고 생각했고 그룹의 성공을 촉진해야 할 때까지 비장의 무기로써 저장했습니다.
,Do you have an ace in the hole?,무슨 비장의 무기라도 있는 거냐?
,And it's an ace in the hole. Look forward to it.,진짜 비장의 무기 맞습니다. 꼭 기대하셔도 좋습니다.
,I've got an ace in the hole.,나에게 비장의 무기가 있다.
,And here is my ace in the hole to help you sleep well.,이번에는 여러분을 깊은 잠에 빠뜨릴 비장의 무기를 준비했습니다.
Act your age,act your age.,나잇값 좀 해.
,You look nice in your new outfit. Now you've started to act your age!,새 옷 입으니까 멋지다. 이제야 나이에 맞게 입기 시작하는구나!
,I don't get what it means to act your age.,나이에 맞게'가 뭔지 저는 사실 잘 모르겠어요.
Against the clock,"Sorry, no pub lunch for me today, I’m up against the clock. This report’s got to be done by 6pm or I’m dead.",죄송합니다. 오늘은 선술집 점심이 없습니다. 시간이 촉박합니다. 이 보고서는 오후 6시까지 완료되어야 합니다. 그렇지 않으면 제가 죽습니다.
,"On our last project, we were working/racing against the clock.",지난 프로젝트에서 우리는 시간에 다투어 일하고 경쟁했습니다.
,"I was racing against the clock, but I finished the test just before the bell.",시간을 다투어 종 치기 직전에 시험을 마쳤습니다.
,"With her term paper due on Monday, she was racing against the clock to finish it.","월요일에 학기 논문 마감일이 다가오자, 그녀는 시간을 다투며 과제를 마무리하고 있었습니다."
,It's now become a race against the clock.,이제 시간과의 싸움이 되었습니다.
All at sea,He dropped his notes just before the interview and panicked. You could say he was all at sea.,그는 인터뷰 직전에 노트를 떨어뜨리고 당황했습니다. 그는 혼란스러운 상태에 있었다고 말할 수 있습니다.
,I'm all at sea because I lost my job.,직장을 잃고 어찌할 바를 몰라 하고 있습니다.
,I’m all at sea with these new regulations.,나는 이 새 규정들이 전혀 뭐가 뭔지 모르겠다.
,We are all at sea on this subject.,우리들은 이 문제에 대해서는 오리무중이다
,Lisa met Corey when he was all at sea.,리사는 코레이가 망연자실 했을 때 만났다.
All bark and no bite,"Our boss might look scary when he gets mad, but he's really all bark and no bite.","우리 사장이 화가 나면 무서워 보일지 몰라도, 입만 살아서 떠들어대는 것뿐이야."
,There's always one loud guy at the back who disappears when trouble starts - all bark but no bite.,문제가 시작되면 사라지는 시끄러운 사람이 항상 뒤에 있습니다. 입만 살아서 떠들어 댈 뿐 입니다.
,"She said that she will call the police if those people ever bother her again, but she didn’t. She's all bark and no bite.",그녀는 그 사람들이 다시 자신을 괴롭히면 경찰에 신고하겠다고 말했지만 그렇게 하지 않았습니다. 그녀는 입만 살아서 떠들어 대는 것 뿐입니다.
